year,week,Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
2022,1,1,Younghoe Koo(ATL),4,5,80.0,54,0,1,0,1,2,2,2,1,19.0,19.0,22.0%
2022,1,2,Cade York(FA),4,4,100.0,58,0,1,2,0,1,2,2,1,16.0,16.0,2.9%
2022,1,3,Ryan Succop(FA),4,5,80.0,47,0,1,1,2,0,1,1,1,15.0,15.0,1.5%
2022,1,4,Chris Boswell(PIT),3,4,75.0,53,0,1,0,1,1,2,2,1,14.0,14.0,72.6%
2022,1,5,Greg Joseph(SF),3,3,100.0,56,0,2,0,0,1,2,2,1,13.0,13.0,0.6%
2022,1,6,Riley Patterson(FA),3,4,75.0,45,0,0,1,2,0,1,1,1,12.0,12.0,1.0%
2022,1,7,Brandon McManus(GB),3,4,75.0,40,0,1,1,1,0,1,1,1,11.0,11.0,7.3%
2022,1,8,Ka'imi Fairbairn(HOU),2,2,100.0,45,0,0,0,2,0,2,2,1,10.0,10.0,66.4%
2022,1,9,Jason Sanders(MIA),2,2,100.0,49,0,0,0,2,0,2,2,1,10.0,10.0,43.2%
2022,1,10,Wil Lutz(DEN),2,3,66.7,51,0,0,0,1,1,1,1,1,10.0,10.0,32.9%
2022,1,11,Randy Bullock(FA),2,3,66.7,46,0,1,0,1,0,2,2,1,9.0,9.0,1.2%
2022,1,12,Rodrigo Blankenship(FA),2,3,66.7,45,0,1,0,1,0,2,2,1,9.0,9.0,0.2%
2022,1,13,Harrison Butker(KC),1,1,100.0,54,0,0,0,0,1,4,4,1,9.0,9.0,68.5%
2022,1,14,Daniel Carlson(LV),2,2,100.0,55,0,1,0,0,1,1,1,1,9.0,9.0,15.2%
2022,1,15,Evan McPherson(CIN),2,3,66.7,59,0,1,0,0,1,0,1,1,8.0,8.0,43.6%
2022,1,16,Tyler Bass(BUF),1,1,100.0,41,0,0,0,1,0,4,4,1,8.0,8.0,61.2%
2022,1,17,Jake Elliott(PHI),1,1,100.0,23,0,1,0,0,0,5,5,1,8.0,8.0,60.7%
2022,1,18,Dustin Hopkins(CLE),1,2,50.0,43,0,0,0,1,0,3,3,1,7.0,7.0,2.0%
2022,1,19,Eddy Pineiro(FA),1,1,100.0,34,0,0,1,0,0,3,3,1,6.0,6.0,1.1%
2022,1,20,Justin Tucker(FA),1,1,100.0,24,0,1,0,0,0,3,3,1,6.0,6.0,10.4%
2022,1,21,Matt Gay(WAS),1,1,100.0,57,0,0,0,0,1,1,1,1,6.0,6.0,16.1%
2022,1,22,Jason Myers(SEA),1,1,100.0,49,0,0,0,1,0,2,2,1,6.0,6.0,7.2%
2022,1,23,Brett Maher(FA),1,1,100.0,51,0,0,0,0,1,0,0,1,5.0,5.0,1.4%
2022,1,24,Austin Seibert(FA),0,0,0,0,0,0,0,0,0,5,5,1,5.0,5.0,0.7%
2022,1,25,Robbie Gould(FA),1,1,100.0,25,0,1,0,0,0,1,1,1,4.0,4.0,1.1%
2022,1,26,Greg Zuerlein(FA),1,2,50.0,45,0,0,0,1,0,0,1,1,4.0,4.0,1.7%
2022,1,27,Joey Slye(TEN),0,0,0,0,0,0,0,0,0,2,2,1,2.0,2.0,2.0%
2022,1,28,Cairo Santos(CHI),0,0,0,0,0,0,0,0,0,1,3,1,1.0,1.0,14.0%
2022,1,29,Mason Crosby(FA),0,0,0,0,0,0,0,0,0,1,1,1,1.0,1.0,0.1%
2022,1,30,Matt Prater(FA),0,0,0,0,0,0,0,0,0,1,1,1,1.0,1.0,0.9%
2022,1,31,Nick Folk(FA),0,0,0,0,0,0,0,0,0,1,1,1,1.0,1.0,0.9%
2022,1,32,Graham Gano(NYG),0,0,0,0,0,0,0,0,0,1,1,1,1.0,1.0,2.3%
2022,2,1,Graham Gano(NYG),4,4,100.0,56,0,0,2,0,2,1,1,1,17.0,17.0,2.3%
2022,2,2,Evan McPherson(CIN),3,3,100.0,50,0,0,0,2,1,0,0,1,13.0,13.0,43.6%
2022,2,3,Daniel Carlson(LV),3,3,100.0,55,0,1,1,0,1,2,2,1,13.0,13.0,15.2%
2022,2,4,Tyler Bass(BUF),2,2,100.0,49,0,0,1,1,0,5,5,1,12.0,12.0,61.2%
2022,2,5,Brandon McManus(GB),3,3,100.0,50,0,2,0,0,1,1,1,1,12.0,12.0,7.3%
2022,2,6,Brett Maher(FA),2,2,100.0,54,0,0,0,0,2,2,2,1,12.0,12.0,1.4%
2022,2,7,Austin Seibert(FA),2,2,100.0,48,0,0,1,1,0,4,4,1,11.0,11.0,0.7%
2022,2,8,Ka'imi Fairbairn(HOU),3,3,100.0,44,0,1,0,2,0,0,0,1,11.0,11.0,66.4%
2022,2,9,Ryan Succop(FA),2,2,100.0,47,0,0,0,2,0,2,2,1,10.0,10.0,1.5%
2022,2,10,Eddy Pineiro(FA),3,3,100.0,38,0,0,3,0,0,1,1,1,10.0,10.0,1.1%
2022,2,11,Justin Tucker(FA),1,1,100.0,51,0,0,0,0,1,5,5,1,10.0,10.0,10.4%
2022,2,12,Mason Crosby(FA),2,2,100.0,40,0,1,0,1,0,3,3,1,10.0,10.0,0.1%
2022,2,13,Matt Ammendola(FA),2,2,100.0,31,1,0,1,0,0,3,3,1,9.0,9.0,0.0%
2022,2,14,Robbie Gould(FA),2,3,66.7,33,0,1,1,0,0,3,3,1,9.0,9.0,1.1%
2022,2,15,Greg Zuerlein(FA),1,1,100.0,57,0,0,0,0,1,4,4,1,9.0,9.0,1.7%
2022,2,16,Riley Patterson(FA),1,1,100.0,52,0,0,0,0,1,3,3,1,8.0,8.0,1.0%
2022,2,17,Chris Boswell(PIT),2,2,100.0,52,0,0,1,0,1,0,0,1,8.0,8.0,72.6%
2022,2,18,Matt Gay(WAS),1,1,100.0,20,0,1,0,0,0,4,4,1,7.0,7.0,16.1%
2022,2,19,Dustin Hopkins(CLE),1,1,100.0,31,0,0,1,0,0,3,3,1,6.0,6.0,2.0%
2022,2,20,Jason Sanders(MIA),0,0,0,0,0,0,0,0,0,6,6,1,6.0,6.0,43.2%
2022,2,21,Cade York(FA),1,1,100.0,22,0,1,0,0,0,3,4,1,6.0,6.0,2.9%
2022,2,22,Jake Elliott(PHI),1,2,50.0,38,0,0,1,0,0,3,3,1,6.0,6.0,60.7%
