year,week,Rank,Player,Rush_ATT,Rush_YDS,Rush_Y/A,LG,20+,Rush_TD,Rec_REC,Rec_TGT,Rec_YDS,Rec_Y/R,Rec_TD,FL,G,FPTS,FPTS/G,ROST
2022,1,1,Saquon Barkley(PHI),18,164,9.1,68,2,1,6,7,30,5.0,0,0,1,27.4,27.4,99.0%
2022,1,2,D'Andre Swift(CHI),15,144,9.6,50,1,1,3,3,31,10.3,0,0,1,23.5,23.5,89.8%
2022,1,3,Jonathan Taylor(IND),31,161,5.2,17,0,1,4,7,14,3.5,0,0,1,23.5,23.5,98.3%
2022,1,4,Cordarrelle Patterson(PIT),22,120,5.5,15,0,1,3,5,16,5.3,0,0,1,19.6,19.6,1.2%
2022,1,5,Clyde Edwards-Helaire(NO),7,42,6.0,18,0,0,3,3,32,10.7,2,0,1,19.4,19.4,3.2%
2022,1,6,Kareem Hunt(KC),11,46,4.2,24,1,1,4,4,24,6.0,1,0,1,19.0,19.0,29.9%
2022,1,7,Dontrell Hilliard(FA),2,8,4.0,5,0,0,3,4,61,20.3,2,0,1,18.9,18.9,0.0%
2022,1,8,James Robinson(FA),11,66,6.0,22,1,1,1,2,3,3.0,1,0,1,18.9,18.9,0.0%
2022,1,9,Miles Sanders(DAL),13,96,7.4,24,2,1,2,2,9,4.5,0,0,1,16.5,16.5,12.7%
2022,1,10,A.J. Dillon(PHI),10,45,4.5,14,0,1,5,6,46,9.2,0,0,1,15.1,15.1,5.6%
2022,1,11,Jamaal Williams(FA),11,28,2.5,7,0,2,1,2,2,2.0,0,0,1,15.0,15.0,1.1%
2022,1,12,Joe Mixon(HOU),27,82,3.0,31,1,0,7,9,63,9.0,0,0,1,14.5,14.5,96.6%
2022,1,13,Nick Chubb(HOU),22,141,6.4,25,2,0,1,1,2,2.0,0,0,1,14.3,14.3,39.7%
2022,1,14,Leonard Fournette(FA),21,127,6.0,17,0,0,2,2,10,5.0,0,0,1,13.7,13.7,0.0%
2022,1,15,Antonio Gibson(NE),14,58,4.1,13,0,0,7,8,72,10.3,0,0,1,13.0,13.0,13.1%
2022,1,16,Isiah Pacheco(KC),12,62,5.2,22,1,1,0,0,0,0,0,0,1,12.2,12.2,90.9%
2022,1,17,Christian McCaffrey(SF),10,33,3.3,9,0,1,4,5,24,6.0,0,0,1,11.7,11.7,98.5%
2022,1,18,James Conner(ARI),10,26,2.6,8,0,1,5,6,29,5.8,0,0,1,11.5,11.5,93.3%
2022,1,19,Dalvin Cook(FA),20,90,4.5,16,0,0,3,5,18,6.0,0,0,1,10.8,10.8,0.6%
2022,1,20,Khalil Herbert(IND),9,45,5.0,12,0,1,1,1,-2,-2.0,0,0,1,10.3,10.3,6.4%
2022,1,21,Michael Carter(ARI),10,60,6.0,22,1,0,7,9,40,5.7,0,0,1,10.0,10.0,0.9%
2022,1,22,Kenneth Gainwell(PIT),5,20,4.0,7,0,1,2,4,12,6.0,0,0,1,9.2,9.2,3.9%
2022,1,23,Javonte Williams(DAL),7,43,6.1,13,0,0,11,12,65,5.9,0,1,1,8.8,8.8,79.3%
2022,1,24,Brandon Bolden(FA),3,7,2.3,5,0,0,2,2,21,10.5,1,0,1,8.8,8.8,0.0%
2022,1,25,Najee Harris(LAC),10,23,2.3,11,0,0,2,2,3,1.5,1,0,1,8.6,8.6,83.5%
2022,1,26,Derrick Henry(BAL),21,82,3.9,18,0,0,0,1,0,0,0,0,1,8.2,8.2,98.7%
2022,1,27,Aaron Jones Sr.(MIN),5,49,9.8,29,1,0,3,5,27,9.0,0,0,1,7.6,7.6,90.4%
