year,week,Rank,Player,Rec_REC,Rec_TGT,Rec_YDS,Rec_Y/R,LG,20+Rec_TD,Rush_ATT,Rush_YDS,Rush_TD,FL,G,FPTS,FPTS/G,ROST
2019,1,1,T.J. Hockenson(MIN),6,9,131,21.8,39,4,1,0,0,0,0,1,19.1,19.1
2019,1,2,Evan Engram(DEN),11,14,116,10.5,22,1,1,0,0,0,0,1,17.6,17.6
2019,1,3,Delanie Walker(FA),5,6,55,11.0,16,0,2,0,0,0,0,1,17.5,17.5
2019,1,4,Mark Andrews(BAL),8,8,108,13.5,39,3,1,0,0,0,0,1,16.8,16.8
2019,1,5,Vernon Davis(FA),4,7,59,14.8,48,1,1,0,0,0,0,1,11.9,11.9
2019,1,6,Blake Jarwin(FA),3,3,39,13.0,28,1,1,0,0,0,0,1,9.9,9.9
2019,1,7,David Njoku(CLE),4,6,37,9.3,18,0,1,0,0,0,0,1,9.7,9.7
2019,1,8,Jimmy Graham(FA),3,5,30,10.0,16,0,1,0,0,0,0,1,9.0,9.0
2019,1,9,Travis Kelce(KC),3,8,88,29.3,42,2,0,0,0,0,0,1,8.8,8.8
2019,1,10,Tyler Higbee(LAR),4,5,20,5.0,6,0,1,0,0,0,0,1,8.0,8.0
2019,1,11,Austin Hooper(NE),9,9,77,8.6,16,0,0,0,0,0,0,1,7.7,7.7
2019,1,12,Jason Witten(FA),3,4,15,5.0,6,0,1,0,0,0,0,1,7.5,7.5
2019,1,13,Darren Waller(MIA),7,8,70,10.0,25,1,0,0,0,0,0,1,7.0,7.0
2019,1,14,C.J. Uzomah(FA),4,5,66,16.5,36,1,0,0,0,0,0,1,6.6,6.6
2019,1,15,Hunter Henry(NE),4,5,60,15.0,22,1,0,0,0,0,0,1,6.0,6.0
2019,1,16,Zach Ertz(WAS),5,7,54,10.8,26,1,0,0,0,0,0,1,5.4,5.4
2019,1,17,George Kittle(SF),8,10,54,6.8,19,0,0,0,0,0,0,1,5.4,5.4
2019,1,18,Hayden Hurst(FA),3,3,41,13.7,23,1,0,0,0,0,0,1,4.1,4.1
2019,1,19,Vance McDonald(FA),2,4,40,20.0,21,1,0,0,0,0,0,1,4.0,4.0
2019,1,20,Jared Cook(FA),2,3,37,18.5,31,1,0,0,0,0,0,1,3.7,3.7
2019,1,21,Greg Olsen(FA),4,9,36,9.0,14,0,0,0,0,0,0,1,3.6,3.6
2019,1,22,Tommy Sweeney(FA),2,2,35,17.5,29,1,0,0,0,0,0,1,3.5,3.5
2019,1,23,James O'Shaughnessy(FA),4,5,32,8.0,9,0,0,0,0,0,0,1,3.2,3.2
2019,1,24,Mike Gesicki(CIN),2,6,31,15.5,26,1,0,0,0,0,0,1,3.1,3.1
2019,1,25,Robert Tonyan(KC),1,1,28,28.0,28,1,0,0,0,0,0,1,2.8,2.8
2019,1,26,Tyler Eifert(FA),5,5,27,5.4,7,0,0,0,0,0,0,1,2.7,2.7
2019,1,27,Nick Boyle(FA),3,3,26,8.7,12,0,0,0,0,0,0,1,2.6,2.6
2019,1,28,Noah Fant(SEA),2,4,29,14.5,20,1,0,1,-5,0,0,1,2.4,2.4
2019,1,29,Jack Doyle(FA),1,2,20,20.0,20,1,0,0,0,0,0,1,2.0,2.0
2019,1,30,Foster Moreau(NO),2,2,20,10.0,11,0,0,0,0,0,0,1,2.0,2.0
2019,1,31,Geoff Swaim(FA),4,4,17,4.3,5,0,0,0,0,0,0,1,1.7,1.7
2019,1,32,Jonnu Smith(PIT),1,1,7,7.0,7,0,0,1,10,0,0,1,1.7,1.7
2019,1,33,Jordan Akins(FA),1,2,17,17.0,17,0,0,0,0,0,0,1,1.7,1.7
2019,1,34,Nick Vannett(FA),2,2,16,8.0,11,0,0,0,0,0,0,1,1.6,1.6
2019,1,35,Dallas Goedert(PHI),2,3,16,8.0,9,0,0,0,0,0,0,1,1.6,1.6
2019,1,36,Jesse James(FA),1,1,15,15.0,15,0,0,0,0,0,0,1,1.5,1.5
2019,1,37,Maxx Williams(FA),1,1,15,15.0,15,0,0,0,0,0,0,1,1.5,1.5
2019,1,38,Marcedes Lewis(FA),2,3,14,7.0,9,0,0,0,0,0,0,1,1.4,1.4
2019,1,39,O.J. Howard(FA),4,5,32,8.0,15,0,0,0,0,0,1,1,1.2,1.2
2019,1,40,Will Dissly(LAC),1,2,12,12.0,12,0,0,0,0,0,0,1,1.2,1.2
2019,1,41,Ryan Griffin(FA),3,4,10,3.3,11,0,0,0,0,0,0,1,1.0,1.0
2019,1,42,Eric Ebron(FA),1,3,8,8.0,8,0,0,0,0,0,0,1,0.8,0.8
2019,1,43,Jeremy Sprinkle(FA),1,1,8,8.0,8,0,0,0,0,0,0,1,0.8,0.8
2019,1,44,Rhett Ellison(FA),1,2,8,8.0,8,0,0,0,0,0,0,1,0.8,0.8
2019,1,45,Cameron Brate(FA),2,2,8,4.0,7,0,0,0,0,0,0,1,0.8,0.8
2019,1,46,Blake Bell(FA),1,1,7,7.0,7,0,0,0,0,0,0,1,0.7,0.7
2019,1,47,Gerald Everett(FA),1,1,7,7.0,7,0,0,0,0,0,0,1,0.7,0.7
2019,1,48,Adam Shaheen(FA),1,2,6,6.0,6,0,0,0,0,0,0,1,0.6,0.6
2019,1,49,Charles Clay(FA),1,1,5,5.0,5,0,0,0,0,0,0,1,0.5,0.5
2019,1,50,Virgil Green(FA),1,1,4,4.0,4,0,0,0,0,0,0,1,0.4,0.4
2019,1,51,Ryan Izzo(FA),1,2,3,3.0,3,0,0,0,0,0,0,1,0.3,0.3
2019,1,52,Mo Alie-Cox(IND),1,1,3,3.0,3,0,0,0,0,0,0,1,0.3,0.3
2019,1,53,Dawson Knox(BUF),1,2,1,1.0,1,0,0,0,0,0,0,1,0.1,0.1
2019,1,54,Matt Orzech(GB),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2019,1,55,Derek Carrier(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2019,1,56,Garrett Celek(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2019,1,57,Levine Toilolo(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2019,1,58,Dion Sims(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2019,1,59,Jordan Reed(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2019,1,60,Lee Smith(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2019,1,61,Erik Swoope(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2019,1,62,Demetrius Harris(FA),0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2019,1,63,Luke Willson(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2019,1,64,Logan Thomas(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2019,1,65,Richard Rodgers(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2019,1,66,Trey Burton(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2019,1,67,Kelvin Benjamin(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2019,1,68,Xavier Grimble(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2019,1,69,Luke Stocker(FA),0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2019,1,70,Antonio Gates(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2019,1,71,Clark Harris(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2019,1,72,Rob Gronkowski(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2019,1,73,Ed Dickson(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2019,1,74,Jermaine Gresham(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2019,1,75,Kyle Rudolph(FA),0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2019,1,76,Logan Paulsen(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2019,1,77,Dan Arnold(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2019,1,78,Taysom Hill(NO),1,2,9,9.0,9,0,1,2,8,0,0,1,0.0,0.0
2019,1,79,Tyrone Swoopes(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2019,1,80,Ian Thomas(LV),0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2019,1,81,Jordan Thomas(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2019,1,82,Dalton Schultz(HOU),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2019,1,83,Troy Fumagalli(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2019,1,84,Pharaoh Brown(MIA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2019,1,85,Antony Auclair(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2019,1,86,Cethan Carter(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2019,1,87,Mason Schreck(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2019,1,88,Jake Butt(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2019,1,89,Sean Culkin(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2019,1,90,Anthony Firkser(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2019,1,91,Jason Croom(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2019,1,92,Johnny Mundt(JAC),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2019,1,93,Durham Smythe(CHI),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2019,1,94,Trevon Wesco(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2019,1,95,Drew Sample(CIN),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2019,1,96,Irv Smith Jr.(HOU),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2019,1,97,Brandon Dillon(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2019,1,98,Garrett Dickerson(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2019,1,99,Andrew Beck(NYJ),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
