year,week,Rank,Player,Rec_REC,Rec_TGT,Rec_YDS,Rec_Y/R,LG,20+Rec_TD,Rush_ATT,Rush_YDS,Rush_TD,FL,G,FPTS,FPTS/G,ROST
2022,1,1,Justin Jefferson(MIN),9,11,184,20.4,64,5,2,0,0,0,0,1,30.4,30.4
2022,1,2,Davante Adams(LAR),10,17,141,14.1,41,3,1,0,0,0,0,1,20.1,20.1
2022,1,3,Ja'Marr Chase(CIN),10,16,129,12.9,24,2,1,0,0,0,0,1,18.9,18.9
2022,1,4,Cooper Kupp(SEA),13,15,128,9.8,28,3,1,0,0,0,0,1,18.8,18.8
2022,1,5,Stefon Diggs(NE),8,9,122,15.3,53,2,1,0,0,0,0,1,18.2,18.2
2022,1,6,Michael Pittman Jr.(IND),9,13,121,13.4,28,2,1,0,0,0,0,1,18.1,18.1
2022,1,7,Michael Thomas(FA),5,8,57,11.4,21,2,2,0,0,0,0,1,17.7,17.7
2022,1,8,Devin Duvernay(CHI),4,4,54,13.5,25,1,2,0,0,0,0,1,17.4,17.4
2022,1,9,Jerry Jeudy(CLE),4,7,102,25.5,67,1,1,0,0,0,0,1,16.2,16.2
2022,1,10,Robbie Chosen(FA),5,8,102,20.4,75,1,1,0,0,0,0,1,16.2,16.2
2022,1,11,A.J. Brown(PHI),10,13,155,15.5,54,1,0,0,0,0,0,1,15.5,15.5
2022,1,12,Jahan Dotson(PHI),3,5,40,13.3,24,1,2,1,-10,0,0,1,15.0,15.0
2022,1,13,Gabe Davis(FA),4,5,88,22.0,47,2,1,0,0,0,0,1,14.8,14.8
2022,1,14,Jaylen Waddle(MIA),4,5,69,17.3,42,1,1,1,8,0,0,1,13.7,13.7
2022,1,15,Mike Evans(TB),5,7,71,14.2,20,1,1,0,0,0,0,1,13.1,13.1
2022,1,16,Sterling Shepard(TB),2,4,71,35.5,65,1,1,0,0,0,0,1,13.1,13.1
2022,1,17,DeAndre Carter(CLE),3,4,64,21.3,30,2,1,0,0,0,0,1,12.4,12.4
2022,1,18,Amon-Ra St. Brown(DET),8,12,64,8.0,29,1,1,0,0,0,0,1,12.4,12.4
2022,1,19,Rashod Bateman(BAL),2,5,59,29.5,55,1,1,0,0,0,0,1,11.9,11.9
2022,1,20,Terry McLaurin(WAS),2,4,58,29.0,49,1,1,0,0,0,0,1,11.8,11.8
2022,1,21,Christian Kirk(HOU),6,12,117,19.5,49,2,0,0,0,0,0,1,11.7,11.7
2022,1,22,Jarvis Landry(FA),7,9,114,16.3,40,2,0,0,0,0,0,1,11.4,11.4
2022,1,23,Curtis Samuel(BUF),8,11,55,6.9,13,0,1,4,17,0,1,1,11.2,11.2
2022,1,24,DJ Chark Jr.(FA),4,8,52,13.0,22,1,1,0,0,0,0,1,11.2,11.2
2022,1,25,Dante Pettis(NO),1,1,51,51.0,51,1,1,0,0,0,0,1,11.1,11.1
2022,1,26,Deebo Samuel Sr.(WAS),2,7,14,7.0,8,0,0,8,52,1,1,1,10.6,10.6
2022,1,27,Marquise Brown(KC),4,6,43,10.8,26,1,1,0,0,0,0,1,10.3,10.3
2022,1,28,Tyreek Hill(MIA),8,12,94,11.8,26,2,0,1,6,0,0,1,10.0,10.0
2022,1,29,Tyler Boyd(FA),4,7,33,8.3,22,1,1,0,0,0,0,1,9.3,9.3
2022,1,30,Julio Jones(FA),3,5,69,23.0,48,1,0,2,17,0,0,1,8.6,8.6
2022,1,31,Brandin Cooks(NO),7,12,82,11.7,42,1,0,0,0,0,0,1,8.2,8.2
2022,1,32,Isaiah McKenzie(FA),2,3,19,9.5,12,0,1,0,0,0,0,1,7.9,7.9
2022,1,33,Equanimeous St. Brown(FA),1,3,18,18.0,18,0,1,0,0,0,0,1,7.8,7.8
2022,1,34,Corey Davis(FA),6,10,77,12.8,17,0,0,0,0,0,0,1,7.7,7.7
2022,1,35,Mecole Hardman Jr.(GB),3,6,16,5.3,8,0,1,0,0,0,0,1,7.6,7.6
2022,1,36,Drake London(ATL),5,7,74,14.8,31,1,0,0,0,0,0,1,7.4,7.4
2022,1,37,Courtland Sutton(DEN),4,7,72,18.0,30,1,0,0,0,0,0,1,7.2,7.2
2022,1,38,Noah Brown(WAS),5,9,68,13.6,22,1,0,0,0,0,0,1,6.8,6.8
2022,1,39,Keenan Allen(FA),4,4,66,16.5,42,1,0,0,0,0,0,1,6.6,6.6
2022,1,40,Zay Jones(ARI),6,9,65,10.8,18,0,0,0,0,0,0,1,6.5,6.5
2022,1,41,Greg Dortch(ARI),7,9,63,9.0,24,1,0,0,0,0,0,1,6.3,6.3
2022,1,42,Jauan Jennings(SF),4,6,62,15.5,44,1,0,0,0,0,0,1,6.2,6.2
2022,1,43,Jakobi Meyers(LV),4,6,55,13.8,27,1,0,1,7,0,0,1,6.2,6.2
2022,1,44,Chris Olave(NO),3,3,41,13.7,20,1,0,0,0,0,0,1,6.1,6.1
2022,1,45,Richie James Jr.(FA),5,6,59,11.8,16,0,0,1,2,0,0,1,6.1,6.1
2022,1,46,Donovan Peoples-Jones(NO),6,11,60,10.0,15,0,0,0,0,0,0,1,6.0,6.0
